name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;512;0;729;3215;1010;3215;1010;0
header;174;183;174;216;1799;216;1799;183
A;977;251;977;278;998;278;998;251
A;618;390;618;396;624;396;624;390
B;980;925;980;951;999;951;999;925
A;618;1507;618;1517;625;1517;625;1507
C;971;1605;971;1635;994;1635;994;1605
A;796;1809;796;1835;810;1835;810;1809
A;946;1911;946;1919;954;1919;954;1911
A;962;2178;962;2178;963;2178;963;2178
D;737;2235;737;2251;747;2251;747;2235
D;974;2323;974;2350;997;2350;997;2323
A;949;2563;949;2564;951;2564;951;2563
A;724;2633;724;2633;724;2633;724;2633
A;946;2853;946;2860;953;2860;953;2853
