name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;219;0;459;3205;969;3205;969;0
header;135;179;135;213;1770;213;1770;179
A;941;247;941;273;960;273;960;247
A;659;261;659;267;665;267;665;261
A;474;284;474;284;474;284;474;284
A;794;579;794;585;799;585;799;579
B;281;715;281;731;290;731;290;715
B;487;762;487;778;495;778;495;762
A;672;762;672;767;679;767;679;762
A;715;808;715;823;723;823;723;808
B;934;922;934;948;956;948;956;922
B;909;989;909;1004;918;1004;918;989
B;500;1173;500;1188;509;1188;509;1173
A;512;1308;512;1315;519;1315;519;1308
B;328;1309;328;1325;337;1325;337;1309
A;818;1583;818;1599;827;1599;827;1583
C;932;1587;932;1615;952;1615;952;1587
D;935;2255;935;2282;955;2282;955;2255
B;484;2591;484;2607;492;2607;492;2591
A;777;2773;777;2789;785;2789;785;2773
A;697;3059;697;3062;699;3062;699;3059
